iter	Passed	Remaining
354	139824	1041791
355	140156	1040938
356	140533	1040417
357	140927	1040025
358	141381	1040076
359	141711	1039220
360	142158	1039216
361	142613	1039264
362	143032	1039057
363	143459	1038896
364	143923	1039012
365	144333	1038726
366	144790	1038781
367	145148	1038129
368	145517	1037555
369	145939	1037357
370	146329	1036927
371	146764	1036819
372	147188	1036634
373	147586	1036263
374	148035	1036248
375	148446	1035970
376	148856	1035679
377	149281	1035490
378	149636	1034820
379	150064	1034657
380	150515	1034647
381	150942	1034468
382	151342	1034109
383	151765	1033904
384	152128	1033289
385	152579	1033273
386	153006	1033088
387	153416	1032795
388	153790	1032255
389	154224	1032115
390	154679	1032116
391	155086	1031798
392	155484	1031419
393	155926	1031333
394	156368	1031240
395	156778	1030936
396	157177	1030561
397	157580	1030211
398	157984	1029871
399	158360	1029343
400	158799	1029223
401	159205	1028894
402	159653	1028835
403	160137	1029004
404	160562	1028786
405	160990	1028595
406	161429	1028467
407	161861	1028295
408	162213	1027616
409	162633	1027365
410	163063	1027181
411	163530	1027223
412	163946	1026951
413	164306	1026317
414	164747	1026200
415	165165	1025930
416	165553	1025480
417	165982	1025277
418	166434	1025219
419	166932	1025440
420	167284	1024768
421	167668	1024288
422	168117	1024206
423	168560	1024083
424	169056	1024283
425	169428	1023727
426	169862	1023551
427	170263	1023174
428	170654	1022733
429	171086	1022537
430	171497	1022218
431	171941	1022094
432	172376	1021919
433	172814	1021753
434	173180	1021169
435	173635	1021102
436	174045	1020775
437	174480	1020594
438	174932	1020503
439	175351	1020224
440	175705	1019571
441	176106	1019183
442	176518	1018866
443	176885	1018287
444	177357	1018313
445	177709	1017643
446	178067	1017014
447	178450	1016531
448	178916	1016515
449	179352	1016331
450	179811	1016273
451	180221	1015940
452	180566	1015240
453	181024	1015170
454	181410	1014700
455	181750	1013976
456	182195	1013838
457	182575	1013332
458	182927	1012679
459	183405	1012718
460	183816	1012388
461	184209	1011956
462	184677	1011936
463	185063	1011470
464	185482	1011178
465	185919	1010988
466	186332	1010665
467	186742	1010323
468	187211	1010305
469	187648	1010109
470	188100	1009991
471	188541	1009813
472	189033	1009912
473	189550	1010137
474	190009	1010049
475	190434	1009783
476	190784	1009120
477	191190	1008752
478	191611	1008459
479	192055	1008293
480	192519	1008223
481	192975	1008118
482	193371	1007694
483	193794	1007412
484	194164	1006853
485	194551	1006384
486	195041	1006446
487	195429	1005979
488	195940	1006149
489	196372	1005906
490	196894	1006129
491	197345	1005982
492	197837	1006041
493	198346	1006185
494	198757	1005834
495	199184	1005558
496	199668	1005575
497	200081	1005230
498	200615	1005488
499	201104	1005522
500	201557	1005373
501	202095	1005646
502	202559	1005551
503	202990	1005286
504	203505	1005438
505	203992	1005448
506	204410	1005118
507	204944	1005359
508	205489	1005647
509	205989	1005714
510	206484	1005751
511	207020	1005992
512	207492	1005915
513	207916	1005602
514	208347	1005325
515	208782	1005070
516	209208	1004768
517	209592	1004261
518	210042	1004076
519	210464	1003755
520	210907	1003529
521	211381	1003456
522	211846	1003335
523	212210	1002733
524	212569	1002113
525	213080	1002208
526	213556	1002135
527	213972	1001778
528	214372	1001349
529	214787	1000990
530	215184	1000546
531	215613	1000252
532	216003	999776
533	216434	999491
534	216891	999321
535	217315	999002
536	217708	998540
537	218137	998244
538	218602	998109
539	219078	998023
540	219476	997584
541	219955	997509
542	220430	997418
543	220911	997348
544	221386	997255
545	221772	996755
546	222220	996540
547	222651	996242
548	223048	995795
549	223471	995461
550	223926	995274
551	224357	994975
552	224813	994790
553	225206	994321
554	225592	993826
555	226088	993815
556	226521	993523
557	226963	993272
558	227428	993116
559	227865	992843
560	228329	992683
561	228726	992233
562	229131	991818
563	229561	991510
564	230022	991335
565	230465	991082
566	230947	990995
567	231363	990627
568	231815	990411
569	232229	990029
570	232647	989666
571	233094	989430
572	233538	989176
573	233942	988753
574	234337	988294
575	234797	988105
576	235254	987906
577	235691	987621
578	236100	987216
579	236556	987013
580	236934	986477
581	237374	986203
582	237826	985981
583	238275	985743
584	238706	985428
585	239166	985234
586	239608	984965
587	240067	984767
588	240551	984669
589	240914	984075
590	241422	984070
591	241833	983674
592	242294	983480
593	242751	983265
594	243216	983084
595	243714	983034
596	244158	982769
597	244632	982619
598	245059	982283
599	245490	981962
600	245963	981807
601	246487	981856
602	246932	981586
603	247449	981605
604	247951	981558
605	248351	981112
606	248827	980962
607	249279	980718
608	249675	980251
609	250065	979766
610	250515	979512
611	250920	979080
612	251362	978795
613	251775	978396
614	252211	978090
615	252666	977851
616	253122	977617
617	253584	977407
618	254004	977034
619	254421	976651
620	254815	976176
621	255313	976102
622	255776	975891
623	256227	975634
624	256671	975352
625	257132	975130
626	257511	974601
627	257952	974305
628	258421	974111
629	258816	973642
630	259324	973597
631	259744	973220
632	260203	972988
633	260579	972446
634	261009	972105
635	261476	971903
636	261845	971337
637	262384	971398
638	262840	971153
639	263272	970818
640	263699	970462
641	264139	970157
642	264607	969953
643	265060	969694
644	265511	969425
645	265930	969039
646	266464	969073
647	266870	968641
648	267292	968267
649	267697	967828
650	268152	967573
651	268635	967418
652	269084	967137
653	269545	966901
654	269966	966522
655	270402	966194
656	270854	965923
657	271351	965815
658	271775	965440
659	272220	965144
660	272645	964778
661	273135	964638
662	273543	964209
663	274011	963993
664	274445	963656
665	274938	963521
666	275366	963163
667	275798	962817
668	276278	962640
669	276739	962391
670	277248	962312
671	277693	962011
672	278123	961655
673	278543	961264
674	279018	961063
675	279454	960728
676	279908	960453
677	280359	960168
678	280820	959916
679	281293	959707
680	281735	959389
681	282147	958971
682	282596	958676
683	283093	958545
684	283548	958269
685	283994	957964
686	284442	957666
687	284851	957233
688	285305	956953
689	285764	956688
690	286166	956234
691	286614	955932
692	287003	955437
693	287412	955005
694	287850	954668
695	288332	954479
696	288769	954139
