iter	PRAUC	Logloss
0	0.233860434	0.6440005199
1	0.300817095	0.5958100077
2	0.33133208	0.553540669
3	0.3366435721	0.5160756863
4	0.3417636176	0.4816695461
5	0.3410405988	0.4517119809
6	0.342963097	0.4228618569
7	0.3472015178	0.3958709252
8	0.3482066561	0.3726052215
9	0.3491021236	0.3519012691
10	0.3514629511	0.3325216852
11	0.3611930177	0.3140964348
12	0.3727490859	0.296912388
13	0.3842398742	0.2807769662
14	0.3886434248	0.2667763797
15	0.3919799747	0.2544680376
16	0.3949012537	0.2432494012
17	0.3971399525	0.2328950205
18	0.4022602388	0.2229363279
19	0.4045294102	0.2141413045
20	0.4071993302	0.2059573959
21	0.4103372487	0.1983714204
22	0.4142040652	0.1913969577
23	0.4163923037	0.1852011734
24	0.4227127898	0.1786194095
25	0.4254413244	0.1732378359
26	0.4290467437	0.1683515931
27	0.4306849895	0.1639336059
28	0.4329625026	0.1597024625
29	0.4357046011	0.1554746408
30	0.437373981	0.1520367622
31	0.4379815896	0.1491183351
32	0.4404665571	0.1461255215
33	0.4429342111	0.1431752828
34	0.4463583647	0.1402124176
35	0.446980737	0.1381630179
36	0.4478606893	0.1361299049
37	0.4505674157	0.1342093205
38	0.4526396079	0.1323215186
39	0.4540849908	0.1306560364
40	0.4551635741	0.1291306376
41	0.4571179697	0.1276084099
42	0.4593883733	0.1260295897
43	0.4616370714	0.1245247563
44	0.4632579464	0.1232641793
45	0.463737325	0.1222051308
46	0.4643205531	0.1211987699
47	0.4651506638	0.1202674107
48	0.4672868946	0.1191891238
49	0.4682771882	0.1183154433
50	0.4695388874	0.1174487288
51	0.4725124428	0.1163038542
52	0.4744070916	0.1154264894
53	0.4752982897	0.1147522824
54	0.476614891	0.1140747886
55	0.478928839	0.1133108041
56	0.4812404034	0.1125675887
57	0.4834604996	0.1118244394
58	0.4848039508	0.1112229968
59	0.4869997383	0.1104493002
60	0.4892618658	0.1098249485
61	0.4894454286	0.1094423944
62	0.4913718316	0.108845654
63	0.4927822739	0.1082262202
64	0.4942635534	0.1077894273
65	0.4953625557	0.1073638505
66	0.4963057495	0.1069843041
67	0.4975793246	0.1065761479
68	0.4988846495	0.1061933704
69	0.5003668564	0.1057615196
70	0.5021275115	0.1053604613
71	0.5035972709	0.1049871673
72	0.5048592658	0.1046779709
73	0.5055620826	0.1043763534
74	0.5060669517	0.1041998515
75	0.5067543875	0.1038580883
76	0.5083602231	0.1035670971
77	0.5093709674	0.1032786542
78	0.5105004869	0.1029329201
79	0.511830551	0.1026893894
80	0.5126779222	0.1024557139
81	0.5134977464	0.102200459
82	0.5141325297	0.1020227509
83	0.5148539841	0.1018337403
84	0.5155831976	0.1016333314
85	0.5171513901	0.1013527474
86	0.518611036	0.1010611181
87	0.5194170201	0.1008835663
88	0.52027358	0.1006996959
89	0.5213339182	0.1005147583
90	0.523027789	0.1002467881
91	0.5247181659	0.0999558625
92	0.5257581692	0.09973937064
93	0.5265543833	0.0996007782
94	0.5278154753	0.09936386206
95	0.528710652	0.0991511836
96	0.5294319264	0.09901609075
97	0.5309509979	0.09877921301
98	0.5320688266	0.09859944173
99	0.5324739394	0.09849993805
100	0.5334761995	0.09830354477
101	0.5345814737	0.09810201336
102	0.5357960355	0.09793249166
103	0.5373933639	0.09768841172
104	0.5381568421	0.09752760368
105	0.5389336455	0.09740167077
106	0.5391959217	0.09731687872
107	0.5404721448	0.09711790572
108	0.5410173767	0.09698300891
109	0.5419732846	0.0968300782
110	0.5432805649	0.09665846361
111	0.5445774899	0.09650639274
112	0.5453333542	0.09639278403
113	0.5457908433	0.09625541471
114	0.5464470106	0.09614995236
115	0.5472630865	0.09600695056
116	0.548240764	0.09585293021
117	0.5491794664	0.09571407436
118	0.5501325582	0.09556405359
119	0.5513697033	0.09542821287
120	0.5518689785	0.09532177234
121	0.5530801972	0.0951733229
122	0.5538866561	0.09505312642
123	0.5547669571	0.09493726451
124	0.5554665613	0.09483057026
125	0.5563001441	0.09474023771
126	0.5571154703	0.09464193478
127	0.5578039116	0.09453922953
128	0.5585371016	0.09444696639
129	0.5592112171	0.09431034922
130	0.5601386868	0.09419250896
131	0.5604886309	0.09411799652
132	0.5612491855	0.09398874593
133	0.5615329407	0.09393536364
134	0.5625791423	0.09379098337
135	0.5631544172	0.09369548973
136	0.5640566391	0.09358286482
137	0.564812401	0.09345151296
138	0.5654968144	0.09334605031
139	0.5662254573	0.09325980668
140	0.5668606944	0.09316930263
141	0.5674419549	0.09308765954
142	0.5678678661	0.0930150188
143	0.5686345019	0.09290932777
144	0.5693585153	0.09280571868
145	0.5701182909	0.09269929105
146	0.5705611417	0.09264071712
147	0.5708905202	0.09257041539
148	0.5712863952	0.09246281467
149	0.5720067597	0.09236617283
150	0.5725280773	0.09229115288
151	0.5732527997	0.09217979758
152	0.5738281462	0.09209626322
153	0.5741375399	0.09204701958
154	0.5746087818	0.09195612673
155	0.5749732692	0.09190210039
156	0.5754559509	0.09184197635
157	0.5758095278	0.09177821105
158	0.576933319	0.09164046843
159	0.5774317233	0.0915686453
160	0.5780233521	0.09146991912
161	0.5784056116	0.09141001773
162	0.57912046	0.09129434067
163	0.5796345432	0.09121023532
164	0.5801995482	0.09114305993
165	0.5806408657	0.09108333976
166	0.5809464052	0.09102698787
167	0.5816218186	0.09091850868
168	0.5821550426	0.09084179943
169	0.5826049069	0.09076999581
170	0.5833725078	0.09065361383
171	0.583917829	0.09056892944
172	0.5843988628	0.09049918625
173	0.58492315	0.09042822878
174	0.5854153791	0.09032893512
175	0.5858140609	0.09027144275
176	0.5866904918	0.09015960238
177	0.5871365297	0.09010021994
178	0.5876309024	0.09002636147
179	0.588170465	0.08993528541
180	0.588763539	0.0898552001
181	0.5892691976	0.08978657164
182	0.5896265783	0.08973458854
183	0.5906813579	0.08959868243
184	0.5911608776	0.08953487076
185	0.5914529183	0.08948347738
186	0.5920341073	0.08941264087
187	0.5923791838	0.08934290537
188	0.5927070585	0.08928487374
189	0.5930056007	0.08923216794
190	0.5936609403	0.08914470284
191	0.594331602	0.08905168932
192	0.5947163145	0.08899612112
193	0.5951132249	0.08893300797
194	0.5953670776	0.08888287525
195	0.5957547349	0.08882993724
196	0.5961999487	0.08875682077
197	0.5965826466	0.08869287002
198	0.596903622	0.08865562186
199	0.5972677735	0.0886128669
200	0.5977215129	0.0885481632
201	0.598038186	0.08848092538
202	0.5985875376	0.08838601251
203	0.5996100375	0.08826952836
204	0.6000540429	0.08819960822
205	0.6004898679	0.08813704541
206	0.6009165824	0.08806349802
207	0.6012156213	0.08799156852
208	0.6016513319	0.08790860931
